Grupo,test,TCNO,VG,TCNOTEXT,VGTEXT,Output,Decision.TCNO,Decision.VG,Decision
GrupoA,w00,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w01,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w02,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w03,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w04,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w05,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w06,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w07,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w08,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w09,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w10,1,0,NA,no leaks are possible,NA,FALSE,TRUE,FALSE
GrupoA,w11,1,0,NA,no leaks are possible,NA,FALSE,TRUE,FALSE
GrupoA,w12,1,0,NA,no leaks are possible,NA,FALSE,TRUE,FALSE
GrupoA,w13,1,0,NA,no leaks are possible,NA,FALSE,TRUE,FALSE
GrupoA,w14,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w15,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w16,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w17,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w18,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w19,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w20,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w21,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w22,1,-1,NA,NA,"line 4: syntax error, unexpected TOKEN_ERRO ",FALSE,FALSE,FALSE
GrupoA,w23,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w24,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w25,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w26,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w27,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w28,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w29,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w30,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w31,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w32,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w33,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w34,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w35,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w36,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w37,1,0,NA,no leaks are possible,NA,FALSE,TRUE,FALSE
GrupoA,w38,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w39,1,0,NA,no leaks are possible,NA,FALSE,TRUE,FALSE
GrupoA,w40,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w41,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w42,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w43,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w44,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w45,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w46,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w47,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w48,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w49,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w50,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w51,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w52,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w53,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w54,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w55,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w56,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w57,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w58,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w59,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w60,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w61,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w62,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w63,1,0,NA,no leaks are possible,NA,FALSE,TRUE,FALSE
GrupoA,w64,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w65,1,0,NA,no leaks are possible,NA,FALSE,TRUE,FALSE
GrupoA,w66,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w67,1,0,NA,no leaks are possible,NA,FALSE,TRUE,FALSE
GrupoA,w68,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w69,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w70,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w71,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w72,1,0,NA,no leaks are possible,NA,FALSE,TRUE,FALSE
GrupoA,w73,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w74,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w75,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w76,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w77,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoA,w78,1,0,NA,no leaks are possible,NA,FALSE,TRUE,FALSE
GrupoB,w00,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoB,w01,1,120,NA, 102 18 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w02,1,146,NA, 134 12 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w03,1,254,NA, 230 24 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w04,1,280,NA, 60 186 0 34 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w05,0,18,NA, 18 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w06,0,179,NA, 85 94 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w07,0,24,NA, 24 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w08,1,114,NA, 78 0 0 36 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w09,1,380,NA, 344 36 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w10,1,330,NA, 104 226 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w11,1,307,NA, 169 138 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w12,1,330,NA, 104 226 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w13,1,307,NA, 169 138 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w14,0,21,NA, 21 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w15,0,16,NA, 16 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w16,0,22,NA, 22 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w17,0,34,NA, 34 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w18,1,78,NA, 74 4 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w19,1,54,NA, 54 0 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w20,1,98,NA, 94 4 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w21,1,92,NA, 88 4 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w22,0,34,NA, 34 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w23,1,166,NA, 152 14 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w24,1,82,NA, 78 4 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w25,1,142,NA, 132 10 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w26,1,176,NA, 160 16 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w27,1,118,NA, 102 16 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w28,0,18,NA, 18 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w29,0,8,NA, 8 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w30,1,30,NA, 30 0 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w31,0,28,NA, 28 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w32,0,36,NA, 36 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w33,0,185,NA, 91 94 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w34,0,185,NA, 91 94 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w35,0,48,NA, 48 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w36,0,48,NA, 48 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w37,0,48,NA, 48 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w38,0,48,NA, 48 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w39,0,72,NA, 72 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w40,0,28,NA, 28 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w41,0,28,NA, 28 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w42,0,28,NA, 28 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w43,0,28,NA, 28 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w44,0,28,NA, 28 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w45,0,28,NA, 28 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w46,0,36,NA, 36 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w47,0,36,NA, 36 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w48,0,36,NA, 36 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w49,0,36,NA, 36 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w50,0,76,NA, 70 6 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w51,0,76,NA, 70 6 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w52,0,76,NA, 70 6 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w53,0,76,NA, 70 6 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w54,0,36,NA, 36 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w55,139,-1,NA,NA,Segmentation fault,FALSE,FALSE,FALSE
GrupoB,w56,0,76,NA, 70 6 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w57,0,76,NA, 70 6 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w58,0,34,NA, 34 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w59,0,34,NA, 34 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w60,0,34,NA, 34 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w61,0,48,NA, 48 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w62,0,48,NA, 48 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w63,1,297,NA, 70 186 0 41 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w64,1,280,NA, 60 186 0 34 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w65,1,276,NA, 264 12 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w66,1,272,NA, 264 8 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w67,1,276,NA, 264 12 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w68,1,260,NA, 236 24 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w69,0,4,NA, 4 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w70,1,559,NA, 116 407 0 36 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w71,1,235,NA, 137 98 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w72,0,50,NA, 50 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w73,0,48,NA, 48 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w74,0,253,NA, 155 98 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w75,1,157,NA, 139 18 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w76,0,334,NA, 236 98 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w77,0,69,NA, 63 6 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w78,0,77,NA, 71 6 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoC,w00,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w01,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w02,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w03,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w04,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w05,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w06,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w07,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w08,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w09,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w10,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w11,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w12,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w13,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w14,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w15,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w16,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w17,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w18,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w19,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w20,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w21,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w22,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w23,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w24,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w25,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w26,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w27,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w28,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w29,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w30,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w31,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w32,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w33,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w34,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w35,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w36,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w37,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w38,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w39,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w40,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w41,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w42,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w43,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w44,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w45,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w46,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w47,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w48,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w49,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w50,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w51,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w52,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w53,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w54,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w55,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w56,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w57,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w58,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w59,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w60,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w61,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w62,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w63,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w64,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w65,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w66,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w67,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w68,1,-1,NA,NA,"line 3 - syntax error, unexpected TK_LIT_INT ",FALSE,FALSE,FALSE
GrupoC,w69,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w70,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w71,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w72,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w73,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w74,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w75,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w76,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w77,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w78,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoD,w00,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoD,w01,1,76,NA, 72 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w02,1,1563,NA, 119 1440 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w03,1,697,NA, 160 533 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w04,1,27,NA, 23 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w05,1,362,NA, 94 264 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w06,1,55,NA, 51 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w07,1,232,NA, 90 138 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w08,1,233,NA, 90 139 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w09,1,1897,NA, 184 1709 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w10,1,36,NA, 32 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w11,1,54,NA, 50 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w12,1,36,NA, 32 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w13,1,54,NA, 50 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w14,1,22,NA, 18 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w15,1,22,NA, 18 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w16,1,22,NA, 18 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w17,1,655,NA, 122 529 0 4 0 ,NA,FALSE,FALSE,FALSE
